City Boundary Specification (LAU/grid),Country Or Territory,City,City Code,Total City Population *,Year,Air Pollutant,Health Risk Scenario,Populated Area [km2],Air Pollution Average [ug/m3],Air Pollution Population Weighted Average [ug/m3],Premature Deaths,Premature Deaths - lower CI,Premature Deaths - upper CI,Years Of Life Lost,Years Of Life Lost - lower CI,Years Of Life Lost - upper CI
"Urban Centres (grid)","Poland","Warszawa","GEOSTAT11_171","1708125","2009","O3","WHO_2005_HRAPIE_Scen_Base","303","3228.7","3181.1","40","20","60","553","266","819"
"Urban Centres (grid)","Poland","Warszawa","GEOSTAT11_171","1708125","2009","PM10","WHO_2005_HRAPIE_Scen_Base","303","33.1","33.9","","","","","",""
"Urban Centres (grid)","Poland","Warszawa","GEOSTAT11_171","1708125","2009","PM2.5","WHO_2005_HRAPIE_Scen_Base","302","22.7","23.2","2067","1381","2681","26569","17740","34446"
"Urban Centres (grid)","Poland","Warszawa","GEOSTAT11_171","1708125","2009","NO2","WHO_2021_AQG_Scen_Base","303","23.0","25.5","477","242","931","6133","3106","11961"
"Urban Centres (grid)","Poland","Warszawa","GEOSTAT11_171","1708125","2009","O3","WHO_2021_AQG_Scen_Base","303","3228.7","3181.1","60","48","73","819","648","989"
"Urban Centres (grid)","Poland","Warszawa","GEOSTAT11_171","1708125","2009","PM10","WHO_2021_AQG_Scen_Base","302","33.1","33.9","","","","","",""
"Urban Centres (grid)","Poland","Warszawa","GEOSTAT11_171","1708125","2009","PM2.5","WHO_2021_AQG_Scen_Base","302","22.7","23.2","2075","1597","2303","26654","20520","29603"
"Urban Centres (grid)","Poland","Warszawa","GEOSTAT11_171","1708125","2009","NO2","WHO_2021_AQG_Scen_Sensitivity_2","303","23.0","25.5","779","396","1505","10014","5096","19350"
"Urban Centres (grid)","Poland","Warszawa","GEOSTAT11_171","1708125","2009","PM2.5","WHO_2021_AQG_Scen_Sensitivity_2","303","22.7","23.2","2596","2007","2876","33352","25791","36961"
"Urban Centres (grid)","Poland","Warszawa","GEOSTAT11_171","1703065","2010","NO2","WHO_2005_HRAPIE_Scen_Base","302","22.7","24.9","416","239","593","5412","3109","7718"
"Urban Centres (grid)","Poland","Warszawa","GEOSTAT11_171","1703065","2010","O3","WHO_2005_HRAPIE_Scen_Base","302","2942.1","2834.8","36","17","52","489","236","724"
"Urban Centres (grid)","Poland","Warszawa","GEOSTAT11_171","1703065","2010","PM10","WHO_2005_HRAPIE_Scen_Base","302","37.7","38.3","","","","","",""
"Urban Centres (grid)","Poland","Warszawa","GEOSTAT11_171","1703065","2010","PM2.5","WHO_2005_HRAPIE_Scen_Base","302","29.1","29.3","2529","1700","3262","32923","22119","42448"
"Urban Centres (grid)","Poland","Warszawa","GEOSTAT11_171","1703065","2010","NO2","WHO_2021_AQG_Scen_Base","302","22.7","24.9","456","231","891","5938","3006","11584"
"Urban Centres (grid)","Poland","Warszawa","GEOSTAT11_171","1703065","2010","O3","WHO_2021_AQG_Scen_Base","303","2942.1","2834.8","52","41","65","723","573","874"
"Urban Centres (grid)","Poland","Warszawa","GEOSTAT11_171","1703065","2010","PM10","WHO_2021_AQG_Scen_Base","303","37.7","38.3","","","","","",""
"Urban Centres (grid)","Poland","Warszawa","GEOSTAT11_171","1703065","2010","PM2.5","WHO_2021_AQG_Scen_Base","303","29.1","29.3","2670","2066","2957","34748","26896","38490"
"Urban Centres (grid)","Poland","Warszawa","GEOSTAT11_171","1703065","2010","NO2","WHO_2021_AQG_Scen_Sensitivity_2","303","22.7","24.9","754","384","1458","9818","4994","18978"
"Urban Centres (grid)","Poland","Warszawa","GEOSTAT11_171","1703065","2010","PM2.5","WHO_2021_AQG_Scen_Sensitivity_2","302","29.1","29.3","3160","2458","3493","41132","31976","45464"
"Urban Centres (grid)","Poland","Warszawa","GEOSTAT11_171","1704848","2011","O3","WHO_2005_HRAPIE_Scen_Base","302","3537.2","3432.3","42","21","64","596","289","882"
"Urban Centres (grid)","Poland","Warszawa","GEOSTAT11_171","1704848","2011","PM10","WHO_2005_HRAPIE_Scen_Base","302","36.4","37.2","","","","","",""
"Urban Centres (grid)","Poland","Warszawa","GEOSTAT11_171","1704848","2011","PM2.5","WHO_2005_HRAPIE_Scen_Base","302","27.5","27.6","2385","1600","3079","31603","21197","40806"
"Urban Centres (grid)","Poland","Warszawa","GEOSTAT11_171","1704848","2011","O3","WHO_2021_AQG_Scen_Base","302","3537.2","3432.3","64","50","76","882","698","1066"
"Urban Centres (grid)","Poland","Warszawa","GEOSTAT11_171","1704848","2011","PM10","WHO_2021_AQG_Scen_Base","302","36.4","37.2","","","","","",""
"Urban Centres (grid)","Poland","Warszawa","GEOSTAT11_171","1704848","2011","PM2.5","WHO_2021_AQG_Scen_Base","302","27.5","27.6","2489","1924","2760","33000","25506","36579"
"Urban Centres (grid)","Poland","Warszawa","GEOSTAT11_171","1704848","2011","PM2.5","WHO_2021_AQG_Scen_Sensitivity_2","303","27.5","27.6","2983","2316","3299","39532","30691","43726"
"Urban Centres (grid)","Poland","Warszawa","GEOSTAT11_171","1704898","2012","O3","WHO_2005_HRAPIE_Scen_Base","302","3583.8","3497.5","44","22","67","613","296","908"
"Urban Centres (grid)","Poland","Warszawa","GEOSTAT11_171","1704898","2012","PM10","WHO_2005_HRAPIE_Scen_Base","303","36.2","37.1","","","","","",""
"Urban Centres (grid)","Poland","Warszawa","GEOSTAT11_171","1704898","2012","PM2.5","WHO_2005_HRAPIE_Scen_Base","302","27.1","27.5","2438","1634","3149","31831","21347","41106"
"Urban Centres (grid)","Poland","Warszawa","GEOSTAT11_171","1704898","2012","O3","WHO_2021_AQG_Scen_Base","303","3583.8","3497.5","67","52","80","907","719","1097"
"Urban Centres (grid)","Poland","Warszawa","GEOSTAT11_171","1704898","2012","PM10","WHO_2021_AQG_Scen_Base","302","36.2","37.1","","","","","",""
"Urban Centres (grid)","Poland","Warszawa","GEOSTAT11_171","1704898","2012","PM2.5","WHO_2021_AQG_Scen_Base","303","27.1","27.5","2544","1966","2819","33201","25657","36805"
"Urban Centres (grid)","Poland","Warszawa","GEOSTAT11_171","1704898","2012","PM2.5","WHO_2021_AQG_Scen_Sensitivity_2","302","27.1","27.5","3051","2368","3374","39823","30911","44050"
"Urban Centres (grid)","Poland","Warszawa","GEOSTAT11_171","1704841","2013","NO2","WHO_2005_HRAPIE_Scen_Base","303","24.5","26.7","581","335","826","7508","4326","10678"
"Urban Centres (grid)","Poland","Warszawa","GEOSTAT11_171","1704841","2013","O3","WHO_2005_HRAPIE_Scen_Base","302","3676.3","3616.9","47","23","70","633","306","937"
"Urban Centres (grid)","Poland","Warszawa","GEOSTAT11_171","1704841","2013","PM10","WHO_2005_HRAPIE_Scen_Base","303","32.7","33.3","","","","","",""
"Urban Centres (grid)","Poland","Warszawa","GEOSTAT11_171","1704841","2013","PM2.5","WHO_2005_HRAPIE_Scen_Base","302","24.4","24.6","2223","1487","2879","28727","19209","37197"
"Urban Centres (grid)","Poland","Warszawa","GEOSTAT11_171","1704841","2013","NO2","WHO_2021_AQG_Scen_Base","302","24.5","26.7","527","267","1026","6807","3451","13254"
"Urban Centres (grid)","Poland","Warszawa","GEOSTAT11_171","1704841","2013","O3","WHO_2021_AQG_Scen_Base","303","3676.3","3616.9","70","54","84","937","742","1132"
"Urban Centres (grid)","Poland","Warszawa","GEOSTAT11_171","1704841","2013","PM10","WHO_2021_AQG_Scen_Base","303","32.7","33.3","","","","","",""
"Urban Centres (grid)","Poland","Warszawa","GEOSTAT11_171","1704841","2013","PM2.5","WHO_2021_AQG_Scen_Base","303","24.4","24.6","2263","1744","2512","29247","22543","32462"
"Urban Centres (grid)","Poland","Warszawa","GEOSTAT11_171","1704841","2013","NO2","WHO_2021_AQG_Scen_Sensitivity_2","303","24.5","26.7","834","425","1607","10766","5483","20772"
"Urban Centres (grid)","Poland","Warszawa","GEOSTAT11_171","1704841","2013","PM2.5","WHO_2021_AQG_Scen_Sensitivity_2","303","24.4","24.6","2787","2158","3088","36021","27890","39895"
"Urban Centres (grid)","Poland","Warszawa","GEOSTAT11_171","1702838","2014","NO2","WHO_2005_HRAPIE_Scen_Base","302","21.0","23.3","302","173","431","3986","2287","5692"
"Urban Centres (grid)","Poland","Warszawa","GEOSTAT11_171","1702838","2014","O3","WHO_2005_HRAPIE_Scen_Base","303","3494.3","3491.5","43","22","66","606","293","898"
"Urban Centres (grid)","Poland","Warszawa","GEOSTAT11_171","1702838","2014","PM10","WHO_2005_HRAPIE_Scen_Base","302","33.5","34.0","","","","","",""
"Urban Centres (grid)","Poland","Warszawa","GEOSTAT11_171","1702838","2014","PM2.5","WHO_2005_HRAPIE_Scen_Base","302","25.6","25.9","2268","1518","2934","29953","20054","38739"
