City Boundary Specification (LAU/grid),Country Or Territory,City,City Code,Total City Population *,Year,Air Pollutant,Health Risk Scenario,Populated Area [km2],Air Pollution Average [ug/m3],Air Pollution Population Weighted Average [ug/m3],Premature Deaths,Premature Deaths - lower CI,Premature Deaths - upper CI,Years Of Life Lost,Years Of Life Lost - lower CI,Years Of Life Lost - upper CI
"Urban Centres (grid)","Poland","Warszawa","GEOSTAT11_171","1700164","2020","NO2","WHO_2021_AQG_Scen_Sensitivity_2","302","20.4","22.0","868","441","1683","9878","5018","19149"
"Urban Centres (grid)","Poland","Warszawa","GEOSTAT11_171","1700164","2020","O3","WHO_2021_AQG_Scen_Sensitivity_2","302","15148.3","15041.3","359","285","433","4215","3340","5086"
"Urban Centres (grid)","Poland","Warszawa","GEOSTAT11_171","1700164","2020","PM2.5","WHO_2021_AQG_Scen_Sensitivity_2","302","18.5","18.9","2741","2112","3044","31184","24021","34624"
"Urban Centres (grid)","Poland","Warszawa","GEOSTAT11_171","1694872","2021","NO2","WHO_2005_HRAPIE_Scen_Base","302","20.2","22.0","270","154","386","2964","1697","4242"
"Urban Centres (grid)","Poland","Warszawa","GEOSTAT11_171","1694872","2021","O3","WHO_2005_HRAPIE_Scen_Base","303","3265.9","3256.7","58","28","85","654","317","967"
"Urban Centres (grid)","Poland","Warszawa","GEOSTAT11_171","1694872","2021","PM10","WHO_2005_HRAPIE_Scen_Base","302","28.7","29.3","","","","","",""
"Urban Centres (grid)","Poland","Warszawa","GEOSTAT11_171","1694872","2021","PM2.5","WHO_2005_HRAPIE_Scen_Base","303","20.7","21.2","2644","1761","3433","28999","19325","37668"
"Urban Centres (grid)","Poland","Warszawa","GEOSTAT11_171","1694872","2021","NO2","WHO_2021_AQG_Scen_Base","302","20.2","22.0","519","262","1015","5690","2876","11133"
"Urban Centres (grid)","Poland","Warszawa","GEOSTAT11_171","1694872","2021","O3","WHO_2021_AQG_Scen_Base","302","3265.9","3256.7","85","68","103","967","766","1170"
"Urban Centres (grid)","Poland","Warszawa","GEOSTAT11_171","1694872","2021","PM10","WHO_2021_AQG_Scen_Base","302","28.7","29.3","","","","","",""
"Urban Centres (grid)","Poland","Warszawa","GEOSTAT11_171","1694872","2021","PM2.5","WHO_2021_AQG_Scen_Base","303","20.7","21.2","2586","1987","2874","28368","21801","31533"
"Urban Centres (grid)","Poland","Warszawa","GEOSTAT11_171","1694872","2021","NO2","WHO_2021_AQG_Scen_Sensitivity_2","302","20.2","22.0","942","479","1826","10338","5251","20043"
"Urban Centres (grid)","Poland","Warszawa","GEOSTAT11_171","1694872","2021","O3","WHO_2021_AQG_Scen_Sensitivity_2","302","16639.7","16579.1","431","341","519","4888","3874","5897"
"Urban Centres (grid)","Poland","Warszawa","GEOSTAT11_171","1694872","2021","PM2.5","WHO_2021_AQG_Scen_Sensitivity_2","302","20.7","21.2","3323","2566","3686","36460","28145","40442"
